Prodotto	Categoria	Sottocategoria	Descrizione	Prezzo
Daiquiri	I Cocktails	I Classici	Rum Bianco, Lime, Sciroppo di Zucchero, Cointreau.	€ 5,00
Long Island Ice Tea	I Cocktails	I Classici	Vodka, Rum bianco, Gin, Cointreau, Tequila Bianca, Limone, Sciroppo di Zucchero, Top di Coca Cola.	€ 5,00
Japanase Ice Tea	I Cocktails	I Classici	Vodka, Rum bianco, Gin, Tequila Bianca, Midori, Limone, Sciroppo di Zucchero, Top di Limonata.	€ 5,00
Negroni	I Cocktails	I Classici	Gin, Campari bitter, Vermouth Rosso.	€ 5,00
Americano	I Cocktails	I Classici	Soda Water, Campari Bitter, Vermouth Rosso.	€ 5,00
Margarita	I Cocktails	I Classici	Tequila Bianca, Cointreau, Lime, Crustas di Sale.	€ 5,00
Moscow Mule	I Cocktails	I Classici	Vodka, Lime, Ginger Beer.	€ 5,00
Sex on the Beach	I Cocktails	I Classici	Vodka, Liquore alla Pesca, Succo d'Arancia, Succo Cranberry.	€ 5,00
Whiskey Sour	I Cocktails	I Classici	Bourbon Whiskey, Succo di Limone, Sciroppo di Zucchero, Albume d’Uovo.	€ 5,00
Aperol Spritz	I Cocktails	Gli Spritz	Aperol, Prosecco, Soda Water.	€ 5,00
Campari Spritz	I Cocktails	Gli Spritz	Campari Bitter, Prosecco, Soda Water.	€ 5,00
Melon Spritz	I Cocktails	Gli Spritz	Midori, Prosecco, Soda Water.	€ 5,00
Hugo Spritz	I Cocktails	Gli Spritz	St-Germain, Prosecco, Soda Water, Foglie di Menta, Spicchi di Lime.	€ 6,00
Mandarin Spritz	I Cocktails	Gli Spritz	Mandarin, Prosecco, Soda Water.	€ 5,00
Aperi-Spritz	I Cocktails	Gli Spritz	Liquore al Fico, Succo di Mela, Prosecco, Soda Water.	€ 6,00
Giulia's Heart	I Cocktails	I Signature	Tequila Bianca, Pestato di Lamponi, Succo d’Ananas, Succo di Limone, Acqua di Rose.	€ 10,00
Purple Rain	I Cocktails	I Signature	Iovem, Passoa, Sciroppo ai Fiori di Sambuco, Succo di Limone, Top di Tonica.	€ 10,00
Autumn in San Giovanni	I Cocktails	I Signature	Rum Bianco, Mandarinetto, Sciroppo al Mandarino Home Made, Succo di Limone, Albume d’Uovo, Bitter all’Arancia.	€ 10,00
Fico Sto Mai Tai	I Cocktails	I Signature	Rum Bianco, Rum Scuro, Liquore al Fico, Orzata, Succo di Lime.	€ 9,00
Virgin Mojito	I Cocktails	Gli Alchol Free	Soda Water, Foglie di Menta, Sciroppo di Zucchero, Lime.	€ 3,50
Virgin Colada	I Cocktails	Gli Alchol Free	Succo d'Ananas, Latte di Cocco.	€ 3,50
Sunset on Monte Cammarata	I Cocktails	Gli Alchol Free	Succo d’Arancia, Succo d’Ananas, Succo di Limone, Succo di Mela, Granatina.	€ 3,50
Spicy Freshness	I Cocktails	Gli Alchol Free	Ginger Beer, Lime, Sciroppo di Zucchero, Zenzero.	€ 3,50
